Production,Area,Season_Whole Year ,Crop_Potato,Crop_Onion,Fertilizer,Crop_Tapioca,Fertilizer_per_Area,Crop_Sweet potato,Crop_Mesta,Crop_Ginger,Crop_Rice,Yield
10.925398766273966,11.067185087860173,True,False,False,15.62283440145544,False,1.2946544109257363,False,False,False,False,0.943
9.740674462130215,10.145884560772224,False,False,False,14.701510501160168,False,1.3190079639710173,False,False,False,False,0.598
10.562896961111214,10.296070034813278,True,False,False,14.851701389599,False,1.314767113148878,False,False,False,False,1.13
7.846589975291186,8.638702608813434,False,False,False,13.194192104050316,False,1.3688763560342465,False,False,False,False,0.439
6.111467339502679,6.855408798609928,True,False,False,11.410030352152186,False,1.4525062469277568,False,False,False,False,0.482
15.837018517791996,13.371681369688002,False,False,False,17.927344593484523,False,1.247407601959221,False,False,False,False,5.0725
10.256290008060986,10.13705656933392,False,False,False,14.692682165444834,False,1.3192608005513229,False,False,False,False,1.096
8.345455428161928,9.71032747056118,True,False,False,14.265932218316976,False,1.33197908817717,False,False,False,False,0.252
11.778292907687902,10.476442547767668,True,False,False,15.032079416860402,False,1.3098204739224135,False,False,False,False,2.658
10.464274083455887,10.843553403061051,False,False,False,15.399198844065754,False,1.3002177910630877,False,False,False,False,0.662
11.39640288460621,9.178849704884811,False,False,False,13.734412350947238,False,1.349308885497751,False,True,False,False,5.0725
6.568077911411976,7.307202314764738,False,False,False,11.862203217020951,False,1.4279420155613356,False,False,False,False,0.549
7.444833273892193,8.0925452638913,False,False,False,12.647907387092948,False,1.3910194582501396,False,False,False,False,0.543
5.717027701406222,9.206332350578643,False,False,False,13.76189776509244,False,1.3483685708424158,False,False,False,False,0.046
17.47024621554637,17.210205025369017,False,False,False,22.0797805071346,False,1.2124948882439708,False,False,False,False,0.699
8.167068178341237,8.781555458546402,True,False,False,13.337068287326886,False,1.363491557538933,False,False,False,False,0.404
6.587550014824796,7.154615356913663,False,False,False,11.709506783042071,False,1.4359361258056755,False,False,False,False,0.585
15.53497779020872,12.556785853584586,True,True,False,17.11244713573057,False,1.2622790771018797,False,False,False,False,5.0725
9.637632201310456,9.44208681209766,False,False,False,13.99767309378173,False,1.3405053363054549,False,False,False,False,0.986
12.433012979932682,12.698094582892352,True,False,False,17.25375632414815,False,1.259573455252418,False,False,False,False,0.718
13.530453038358583,12.955415832520144,False,False,False,17.5110782600504,False,1.2547872790178374,False,False,False,True,1.837
15.087941971084264,14.003507645089648,False,False,False,18.559171591001945,False,1.2369888448769508,False,False,False,True,2.844
