Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temperature,Max_Temperature,Min_Temperature
Mesta,1997,Kharif     ,Meghalaya,8.452974619089586,9.978548641758007,3818.2,13.008428338702256,7.2822662117683965,4.68,18.57,26.645,10.664
Mesta,1997,Whole Year ,Meghalaya,6.759255270663693,6.570882962339584,3818.2,11.313771474285218,5.59065110321487,0.752,18.57,26.645,10.664
Other  Rabi pulses,1997,Rabi       ,Meghalaya,7.554858521040676,7.321188556739478,3818.2,12.11000509399227,6.384840204743776,0.777,18.57,26.645,10.664
Potato,1997,Whole Year ,Meghalaya,9.941024156064854,12.20861939979675,3818.2,14.496641269075978,8.76994835911128,5.0725,18.57,26.645,10.664
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,8.841448244098858,8.404696160189092,3818.2,13.39696990630908,7.670587091707435,0.609,18.57,26.645,10.664
Rice,1997,Kharif     ,Meghalaya,11.563342875883817,11.91907034198315,3818.2,16.118998233508112,10.392181057847024,1.379,18.57,26.645,10.664
Sesamum,1997,Kharif     ,Meghalaya,7.190676034332207,6.535241271013659,3818.2,11.745594861016516,6.021168969814313,0.576,18.57,26.645,10.664
Small millets,1997,Kharif     ,Meghalaya,7.9391588179567965,7.71333788887187,3818.2,12.494470761561551,6.768769035674651,0.861,18.57,26.645,10.664
Soyabean,1997,Kharif     ,Meghalaya,6.80128303447162,6.703188113240863,3818.2,11.355846535334557,5.632572862299405,0.921,18.57,26.645,10.664
Sugarcane,1997,Whole Year ,Meghalaya,4.418840607796598,5.420534999272286,3818.2,8.9625121455401,3.2741212990941793,2.352,18.57,26.645,10.664
Sweet potato,1997,Whole Year ,Meghalaya,8.558910784768106,9.739732565316011,3818.2,13.114385720350146,7.388154684409993,3.221,18.57,26.645,10.664
Tapioca,1997,Whole Year ,Meghalaya,8.283999304248526,9.956459437302234,3818.2,12.839414167269425,7.113378237178358,5.0725,18.57,26.645,10.664
Tobacco,1997,Rabi       ,Meghalaya,6.610696044717759,6.226536669287466,3818.2,11.165028170219927,5.442504286860534,0.618,18.57,26.645,10.664
Turmeric,1997,Whole Year ,Meghalaya,7.2456550675945355,8.871645667501872,3818.2,11.800613812402322,6.076058420956916,5.0725,18.57,26.645,10.664
Wheat,1997,Rabi       ,Meghalaya,8.363575702750637,8.838551790227402,3818.2,12.919009683696924,7.192911664570423,1.385,18.57,26.645,10.664
Arecanut,1997,Whole Year ,West Bengal,8.994544758324512,9.427385364828522,1852.9,13.55008673581991,7.823637927601646,1.692,25.795,35.236,17.038
Arhar/Tur,1997,Whole Year ,West Bengal,8.197263371414335,7.687997166393016,1852.9,12.752655587970605,7.026693203053651,0.778,25.795,35.236,17.038
Bajra,1997,Kharif     ,West Bengal,5.337538079701318,4.564348191467836,1852.9,9.888434318993076,4.176999240344289,0.427,25.795,35.236,17.038
Barley,1997,Whole Year ,West Bengal,8.718827059242566,8.524168805152662,1852.9,13.274330051168496,7.548007883787558,1.68,25.795,35.236,17.038
Cardamom,1997,Whole Year ,West Bengal,7.891704659330107,2.0794415416798357,1852.9,12.44699945324959,6.72135340902103,0.0,25.795,35.236,17.038
Castor seed,1997,Whole Year ,West Bengal,6.493753839851686,3.8501476017100584,1852.9,11.047920521452042,5.32593253358101,0.07,25.795,35.236,17.038
Coconut ,1997,Whole Year ,West Bengal,10.097161097666307,18.43423228286143,1852.9,14.652785099449032,8.926069807042907,5.0725,25.795,35.236,17.038
Cotton(lint),1997,Kharif     ,West Bengal,10.165890277802454,10.859018228147887,1852.9,14.7215169872229,8.9947928972836,2.0,25.795,35.236,17.038
Dry chillies,1997,Whole Year ,West Bengal,11.067185087860173,10.925398766273966,1852.9,15.622834401455439,9.896036864969998,0.943,25.795,35.236,17.038
Gram,1997,Rabi       ,West Bengal,10.145884560772224,9.740674462130217,1852.9,14.701510501160168,8.9747889099317,0.598,25.795,35.236,17.038
Groundnut,1997,Whole Year ,West Bengal,10.296070034813278,10.562896961111214,1852.9,14.851701389598999,9.124962206025588,1.13,25.795,35.236,17.038
Horse-gram,1997,Kharif     ,West Bengal,8.638702608813434,7.846589975291186,1852.9,13.194192104050316,7.467913776766782,0.439,25.795,35.236,17.038
Jowar,1997,Whole Year ,West Bengal,6.855408798609928,6.111467339502679,1852.9,11.410030352152186,5.686568493921513,0.482,25.795,35.236,17.038
Jute,1997,Kharif     ,West Bengal,13.371681369688002,15.837018517791995,1852.9,17.927344593484523,12.200501857463925,5.0725,25.795,35.236,17.038
Khesari,1997,Rabi       ,West Bengal,10.13705656933392,10.256290008060986,1852.9,14.692682165444834,8.96596169282665,1.096,25.795,35.236,17.038
Linseed,1997,Whole Year ,West Bengal,9.710327470561179,8.345455428161928,1852.9,14.265932218316975,8.539279483673328,0.252,25.795,35.236,17.038
Maize,1997,Whole Year ,West Bengal,10.476442547767668,11.778292907687902,1852.9,15.032079416860402,9.305322316098888,2.658,25.795,35.236,17.038
Masoor,1997,Rabi       ,West Bengal,10.843553403061053,10.464274083455889,1852.9,15.399198844065754,9.672413890848478,0.662,25.795,35.236,17.038
Mesta,1997,Kharif     ,West Bengal,9.178849704884811,11.39640288460621,1852.9,13.734412350947238,8.007896398392738,5.0725,25.795,35.236,17.038
Moong(Green Gram),1997,Kharif     ,West Bengal,7.307202314764738,6.568077911411976,1852.9,11.862203217020953,6.137511048037225,0.549,25.795,35.236,17.038
Moong(Green Gram),1997,Rabi       ,West Bengal,8.0925452638913,7.444833273892193,1852.9,12.647907387092948,6.922042725590207,0.543,25.795,35.236,17.038
Moong(Green Gram),1997,Summer     ,West Bengal,9.206332350578643,5.717027701406222,1852.9,13.761897765092439,8.035372818652316,0.046,25.795,35.236,17.038
Niger seed,1997,Rabi       ,West Bengal,17.210205025369017,17.47024621554637,1852.9,22.079780507134593,15.94450872225849,0.699,25.795,35.236,17.038
Niger seed,1997,Whole Year ,West Bengal,8.781555458546402,8.167068178341237,1852.9,13.337068287326886,7.610714166926075,0.404,25.795,35.236,17.038
Other Kharif pulses,1997,Kharif     ,West Bengal,7.154615356913663,6.587550014824796,1852.9,11.709506783042071,5.985169776545233,0.585,25.795,35.236,17.038
Potato,1997,Whole Year ,West Bengal,12.556785853584586,15.534977790208721,1852.9,17.11244713573057,11.385610708956076,5.0725,25.795,35.236,17.038
Ragi,1997,Autumn     ,West Bengal,9.44208681209766,9.637632201310455,1852.9,13.99767309378173,8.271080354230794,0.986,25.795,35.236,17.038
Rapeseed &Mustard,1997,Whole Year ,West Bengal,12.698094582892352,12.433012979932682,1852.9,17.25375632414815,11.526918405533644,0.718,25.795,35.236,17.038
Rice,1997,Autumn     ,West Bengal,12.955415832520144,13.530453038358585,1852.9,17.5110782600504,11.784238111439954,1.837,25.795,35.236,17.038
Rice,1997,Summer     ,West Bengal,14.003507645089648,15.087941971084263,1852.9,18.559171591001945,12.832326507926336,2.844,25.795,35.236,17.038
Rice,1997,Winter     ,West Bengal,15.267201431417,16.003257138435618,1852.9,19.82286596588624,14.096018971139907,1.986,25.795,35.236,17.038
Safflower,1997,Whole Year ,West Bengal,9.287394001418473,8.006700845440367,1852.9,13.842967152113948,8.116417072794205,0.298,25.795,35.236,17.038
Sannhamp,1997,Whole Year ,West Bengal,7.60887062919126,9.113168460223909,1852.9,12.164044455098026,6.4387911093110635,4.599,25.795,35.236,17.038
Sesamum,1997,Whole Year ,West Bengal,11.759113442092596,11.395762237193251,1852.9,16.31477047253951,10.587947861242329,0.649,25.795,35.236,17.038
Small millets,1997,Whole Year ,West Bengal,8.526549286340263,8.078067881815437,1852.9,13.082017977628087,7.355807223360801,0.627,25.795,35.236,17.038
Soyabean,1997,Kharif     ,West Bengal,7.349873704738337,7.067319848653476,1852.9,11.90490234791776,6.180120167963518,1.197,25.795,35.236,17.038
Sugarcane,1997,Whole Year ,West Bengal,10.158052248525081,14.413633067958253,1852.9,14.713678658478479,8.98695554155651,5.0725,25.795,35.236,17.038
Sunflower,1997,Whole Year ,West Bengal,5.631211781821365,0.6931471805599453,1852.9,10.183323675869499,4.467974946810247,0.0,25.795,35.236,17.038
